Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation,Hour,Traffic_Situation_Encoded
12:00:00 AM,10,Tuesday,-0.8222974421577569,-1.161301814407281,-0.7866041169000426,-1.0681831752064588,-1.2498798919632899,low,0,2
12:15:00 AM,10,Tuesday,-0.4296528873464478,-1.161301814407281,-0.8563411835079586,-1.1625045450968075,-0.9840131019890928,low,0,2
12:30:00 AM,10,Tuesday,-0.495093646481666,-1.161301814407281,-0.8563411835079586,-0.8795404354257613,-0.9840131019890928,low,0,2
12:45:00 AM,10,Tuesday,-0.38602571458963564,-1.161301814407281,-0.9260782501158747,-0.97386180531611,-0.9341630788689308,low,0,2
1:00:00 AM,10,Tuesday,-0.25514419631919927,-0.694207044887607,-0.01949638421296577,0.06367326347772535,-0.3359628014269875,normal,1,3
1:15:00 AM,10,Tuesday,-0.538720819238478,-1.161301814407281,-0.7168670502921265,-1.0681831752064588,-1.0172464507358674,low,1,2
1:30:00 AM,10,Tuesday,-0.6914159238873205,-1.161301814407281,-0.9958153167237909,-1.0681831752064588,-1.200029868843128,low,1,2
1:45:00 AM,10,Tuesday,-0.5823479919952902,-0.849905301394165,-0.7866041169000426,-0.97386180531611,-0.9840131019890928,low,1,2
2:00:00 AM,10,Tuesday,-0.38602571458963564,-1.161301814407281,-0.43791878386046224,-0.7852190655354127,-0.784613009508445,low,2,2
2:15:00 AM,10,Tuesday,-0.7568566830225387,-1.161301814407281,-0.7866041169000426,-0.7852190655354127,-1.150179845722966,low,2,2
2:30:00 AM,10,Tuesday,-0.516907232860072,-1.161301814407281,-0.9958153167237909,-1.3511472848775048,-1.1169464969761913,low,2,2
2:45:00 AM,10,Tuesday,-0.516907232860072,-1.161301814407281,-0.9958153167237909,-1.1625045450968075,-1.0837131482294167,low,2,2
3:00:00 AM,10,Tuesday,-0.4078393009680417,-1.161301814407281,-0.8563411835079586,-1.4454686547678535,-1.0172464507358674,low,3,2
3:15:00 AM,10,Tuesday,-0.7568566830225387,-1.161301814407281,-0.7866041169000426,-1.0681831752064588,-1.200029868843128,low,3,2
3:30:00 AM,10,Tuesday,1.3154340229260373,0.5513790071648571,1.8634044142007682,-1.3511472848775048,1.325704635911744,heavy,3,0
3:45:00 AM,10,Tuesday,1.6426378186021282,0.08428423764518307,2.3515638804561805,-1.4454686547678535,1.5749547515125537,heavy,3,0
4:00:00 AM,10,Tuesday,0.9227894681147282,1.018473776684531,0.3291889488266146,-1.1625045450968075,0.7939710559633499,normal,4,3
4:15:00 AM,10,Tuesday,-0.03700833253513864,-0.30496140362121194,-0.36818171725254617,0.06367326347772535,-0.16979605769311434,normal,4,3
4:30:00 AM,10,Tuesday,-0.08063550529195077,0.7070772636714151,-0.5773929170762944,0.06367326347772535,-0.03686266270601582,normal,4,3
4:45:00 AM,10,Tuesday,0.5519584996818251,0.9406246484312522,-0.5773929170762944,0.06367326347772535,0.49487091724237825,normal,4,3
5:00:00 AM,10,Tuesday,0.5519584996818251,0.3956807506582991,-0.5076558504683782,-0.7852190655354127,0.24562080164156855,normal,5,3
5:15:00 AM,10,Tuesday,-0.03700833253513864,1.09632290493781,-0.7168670502921265,-0.5022549558643666,-0.05347933707940313,low,5,2
5:30:00 AM,10,Tuesday,-0.27695778269760535,-0.22711227536793294,-0.9260782501158747,-0.12496947630297199,-0.5021295451608606,normal,5,3
5:45:00 AM,10,Tuesday,-0.25514419631919927,-0.14926314711465394,-0.8563411835079586,-0.407933585974018,-0.5021295451608606,low,5,2
